bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genre
23552,The New Big Book of America,Todd Davis/Marc Frey,5.0,0762412631,9780762412631,eng,56,2,1,3/21/2002,Courage Books,['Reference']
2560,Willem de Kooning: Late Paintings,Julie Sylvester/David Sylvester,5.0,382960226X,9783829602266,eng,83,1,0,9/1/2006,Schirmer Mosel,"['Art', 'Visual Art']"
2034,Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,5.0,0198145047,9780198145042,grc,364,0,0,2/22/1922,Oxford University Press  USA,"['Literature', 'Humor', 'Plays', 'Theatre', 'Humanities', 'Classical Studies']"
32823,Fanning the Flame: Bible  Cross  and Mission,Chris    Green/Chris Wright/Paul Douglas Gardner,5.0,0310249872,9780310249870,eng,336,1,1,6/17/2003,Zondervan,['Christian']
38804,The Irish Anatomist: A Study of Flann O'Brien,Keith Donohue,5.0,1930901356,9781930901353,eng,222,1,0,7/25/2003,Academica Press,"['Language', 'Writing', 'Nonfiction']"
19788,The Goon Show  Volume 11: He's Fallen in the Water!,NOT A BOOK,5.0,0563388323,9780563388326,eng,2,2,0,10/2/1995,BBC Physical Audio,['Audiobook']
19786,The Goon Show  Volume 4: My Knees Have Fallen Off!,NOT A BOOK,5.0,0563388692,9780563388692,eng,2,3,0,4/1/1996,BBC Physical Audio,['Humor']
39829,His Princess Devotional: A Royal Encounter With Your King,Sheri Rose Shepherd,5.0,1590529626,9781590529621,eng,240,2,0,10/16/2007,Multnomah,"['Spirituality', 'Inspirational']"
15705,Existential Meditation,Simon Cleveland,4.91,1411665309,9781411665309,eng,100,11,3,12/22/2005,Lulu.com,"['Philosophy', 'Nonfiction', 'Self Help']"
37424,Little Big Book for God's Children,Alice Wong/Lena Tabori,4.88,094180755X,9780941807555,en-US,352,8,0,9/1/2001,Welcome Books,"['Childrens', 'Christianity', 'Discipleship', 'Religion', 'Literary Fiction']"
24812,The Complete Calvin and Hobbes,Bill Watterson,4.82,0740748475,9780740748479,eng,1456,32213,930,9/6/2005,Andrews McMeel Publishing,"['Sequential Art', 'Comics', 'Humor', 'Sequential Art', 'Graphic Novels', 'Fiction']"
17277,The Feynman Lectures on Physics Vols 7-8,Richard P. Feynman,4.8,0738209279,9780738209272,en-US,0,20,0,1/3/2006,Basic Books,"['Science', 'Physics', 'Science', 'Nonfiction']"
